Key,File,Type,english,german,latam,french,italian,japanese,polish,brazilian,russian,turkish,schinese,tchinese,spanish,bulgarian,czech,danish,greek,estonian,finnish,hungarian,indonesian,lithuanian,latvian,dutch,romanian,slovak,slovenian,swedish
ocbMediumCeilLampDesc,blocks,block,Medium ceiling light that requires power. Can be dimmed and colored when placed inside your land claim. Unlocked at Engineering Perk level 3.,"Mittlere Deckenleuchte, die Strom benötigt. Kann gedimmt und gefärbt werden, wenn sie in deinem Landbesitz platziert wird. Wird auf Stufe 3 des Ingenieurs-Perks freigeschaltet.","Lámpara de techo mediana que requiere energía. Puede atenuarse y colorearse cuando se coloca en el interior de su terreno. Se desbloquea en el nivel 3 de la pericia de ingeniería.","Plafonnier de taille moyenne qui nécessite une alimentation électrique. Peut être atténué et coloré lorsqu'il est placé à l'intérieur de votre concession. Débloqué au niveau 3 de la compétence d'ingénierie.","Plafoniera media che richiede alimentazione. Può essere attenuata e colorata quando viene posizionata all'interno della richiesta di terra. Si sblocca al livello 3 dell'abilità di ingegneria.","電源が必要な中型シーリングライト。自分のランドクレーム内に置くと調光・調色が可能。Engineering Perk level 3でアンロックされる。","Średnia lampa sufitowa, która wymaga zasilania. Można ją przyciemnić i pokolorować, gdy znajduje się w twoim budynku. Odblokowuje się na poziomie 3 Perku Inżynierii.","Luz de teto média que requer energia. Pode ser escurecida e colorida quando colocada dentro de sua reivindicação de terra. Desbloqueado no nível 3 do Engineering Perk.","Средний потолочный светильник, требующий питания. Может регулироваться по яркости и цвету, когда размещается внутри вашего земельного участка. Разблокируется на 3-м уровне перка ""Инженерное дело"".","Güç gerektiren orta boy tavan lambası. Arazi talebinizin içine yerleştirildiğinde karartılabilir ve renklendirilebilir. Mühendislik Avantajı seviye 3'te açılır.","中型天花板灯，需要电源。在你的土地要求内放置时可以调暗和调色。在工程津贴3级时解锁。","中型天花[板闆]燈，需要電源。在你的土地要求内放置時可以調暗和調色。在工程津貼3級時解鎖。","Lámpara de techo mediana que requiere energía. Puede atenuarse y colorearse cuando se coloca en el interior de su terreno. Se desbloquea en el nivel 3 de la pericia de ingeniería.","Средна светлина за таван, която изисква захранване. Може да се затъмнява и оцветява, когато е поставена във вашия поземлен имот. Отключва се при ниво 3 на инженерната придобивка.","Střední stropní svítidlo, které vyžaduje napájení. Lze jej ztlumit a barevně upravit, když je umístěno uvnitř vašeho pozemku. Odemkne se na 3. úrovni inženýrského perku.","Medium loftslampe, der kræver strøm. Kan dæmpes og farves, når den er placeret i dit landområde. Låses op på niveau 3 af Engineering Perk.","Μεσαίο φωτιστικό οροφής που απαιτεί ρεύμα. Μπορεί να χαμηλώσει και να χρωματιστεί όταν τοποθετείται στο εσωτερικό του οικοπέδου σας. Ξεκλειδώνεται στο επίπεδο 3 του Engineering Perk.","Keskmine laevalgusti, mis vajab energiat. Saab timmida ja värvida, kui see paigutatakse teie maa-ala sisemusse. Vabastatakse inseneriperki 3. tasemel.","Keskikokoinen kattovalaisin, joka vaatii virtaa. Voidaan himmentää ja värittää, kun se sijoitetaan maa-aluettasi sisälle. Avautuu Engineering Perk -tasolla 3.","Közepes mennyezeti lámpa, amely áramot igényel. Tompítható és színezhető, ha a földigénylésen belül helyezzük el. Feloldható a mérnöki képesség 3. szintjén.",Lampu plafon sedang yang membutuhkan daya. Dapat diredupkan dan diwarnai ketika ditempatkan di dalam klaim tanah Anda. Terbuka pada Engineering Perk level 3.,"Vidutinio dydžio lubinis šviestuvas, kuriam reikia maitinimo. Jį galima pritemdyti ir nuspalvinti, kai yra jūsų žemės sklypo viduje. Atrakinama pasiekus 3 inžinerinės savybės lygį.","Vidēja izmēra griestu gaisma, kurai nepieciešama strāvas padeve. Var tikt aptumšota un iekrāsota, kad tā ir novietota jūsu zemes pretenzijā. Atbloķējams, kad inženiertehniskā īpašība ir 3. līmenī.",Middelgroot plafondlampje dat stroom nodig heeft. Kan worden gedimd en gekleurd wanneer het in uw landclaim wordt geplaatst. Vrijgespeeld op ingenieursdienst niveau 3.,"Plafonieră medie care necesită alimentare. Poate fi atenuată și colorată atunci când este plasată în interiorul terenului dumneavoastră. Se deblochează la nivelul 3 al Perk-ului de inginer.","Stredné stropné svietidlo, ktoré si vyžaduje napájanie. Môže byť stlmené a farebné, keď je umiestnené vo vnútri vášho pozemku. Odomkne sa na úrovni 3 inžinierskej perky.","Srednja stropna svetilka, ki potrebuje napajanje. Lahko se zatemni in obarva, ko je nameščena v vašem zemljišču. Odklene se na 3. stopnji inženirske nadgradnje.","Medelstor taklampa som kräver ström. Kan dämpas och färgas när den placeras i din tomt. Låses upp vid Engineering Perk nivå 3."
ocbSpecialCeilLampDesc,blocks,block,Special ceiling light that requires power. Can be dimmed and colored when placed inside your land claim. Unlocked at Engineering Perk level 4.,"Spezielle Deckenleuchte, die Strom benötigt. Kann gedimmt und eingefärbt werden, wenn sie in deinem Landbesitz platziert wird. Wird auf Stufe 4 des Ingenieurs-Perks freigeschaltet.","Lámpara de techo especial que requiere energía. Puede atenuarse y colorearse cuando se coloca en el interior de tu terreno. Se desbloquea en el nivel 4 de la pericia de ingeniería.","Plafonnier spécial qui nécessite de l'énergie. Peut être atténué et coloré lorsqu'il est placé à l'intérieur de votre concession. Débloqué au niveau 4 de la compétence d'ingénierie.","Una speciale plafoniera che richiede energia. Può essere attenuata e colorata quando viene posizionata all'interno della richiesta di terra. Si sblocca al livello 4 dell'abilità di ingegneria.","電源が必要な特殊なシーリングライト。自分のランドクレーム内に置くと調光・調色が可能。Engineering Perkレベル4でアンロックされる。","Specjalna lampa sufitowa, która wymaga zasilania. Można ją przyciemnić i pokolorować, gdy jest umieszczona w twoim budynku. Odblokowuje się na poziomie 4 Perku Inżynierii.","Luz de teto especial que requer energia. Pode ser escurecida e colorida quando colocada dentro de sua reivindicação de terra. Desbloqueado no nível 4 do Engineering Perk.","Специальный потолочный светильник, требующий питания. Может регулироваться по яркости и цвету, когда размещается внутри вашего земельного участка. Разблокируется на 4-м уровне перка ""Инженерное дело"".","Güç gerektiren özel tavan lambası. Arazi talebinizin içine yerleştirildiğinde karartılabilir ve renklendirilebilir. Mühendislik Avantajı seviye 4'te açılır.","需要电源的特殊天花板灯。在你的土地要求内放置时，可以调暗和调色。在工程津贴4级时解锁。","需要電源的特殊天花[板闆]燈。在你的土地要求内放置時，可以調暗和調色。在工程津貼4級時解鎖。","Lámpara de techo especial que requiere energía. Puede atenuarse y colorearse cuando se coloca en el interior de tu terreno. Se desbloquea en el nivel 4 de la pericia de ingeniería.","Специална таванна лампа, която се нуждае от захранване. Може да бъде затъмнена и оцветена, когато е поставена във вашия поземлен имот. Отключва се при ниво 4 на инженерната придобивка.","Speciální stropní svítidlo, které vyžaduje napájení. Při umístění uvnitř vašeho pozemku může být tlumené a barevné. Odemkne se na 4. úrovni inženýrského perku.","Særlig loftslampe, der kræver strøm. Kan dæmpes og farves, når det er placeret i dit landområde. Låses op på niveau 4 af Engineering Perk.","Ειδικό φωτιστικό οροφής που απαιτεί ρεύμα. Μπορεί να χαμηλώσει και να χρωματιστεί όταν τοποθετείται μέσα στο χώρο της διεκδίκησης γης σας. Ξεκλειδώνεται στο επίπεδο 4 του Engineering Perk.","Spetsiaalne laevalgusti, mis vajab elektrit. Saab timmida ja värvida, kui see paigutatakse teie maa-ala sisemusse. Vabastatakse inseneripärandi tasemel 4.","Erityinen kattovalaisin, joka vaatii virtaa. Voidaan himmentää ja värittää, kun se sijoitetaan tontin sisälle. Avautuu, kun Engineering Perk -taso on 4.","Speciális mennyezeti lámpa, amely áramot igényel. Halkítható és színezhető, ha a földterületén belül helyezi el. Feloldható a 4. szintű mérnöki képességnél.",Lampu langit-langit khusus yang membutuhkan daya. Dapat diredupkan dan diwarnai ketika ditempatkan di dalam klaim tanah Anda. Terbuka pada Engineering Perk level 4.,"Specialus lubinis šviestuvas, kuriam reikia elektros energijos. Jį galima pritemdyti ir nuspalvinti, kai jis yra jūsų žemės sklypo viduje. Atrakinama pasiekus 4 inžinerinės savybės lygį.","Īpaša griestu gaisma, kurai nepieciešama strāva. Var tikt aptumšota un iekrāsota, kad ir novietota jūsu zemes prasībā. Atbloķē, kad inženiertehniskā īpašība ir 4. līmenī.",Speciale plafondlamp die stroom nodig heeft. Kan worden gedimd en gekleurd wanneer geplaatst in uw landclaim. Wordt vrijgespeeld op Ingenieurstrek niveau 4.,"Plafonieră specială care necesită energie electrică. Poate fi atenuată și colorată atunci când este amplasată în interiorul terenului revendicat. Se deblochează la nivelul 4 al Perk-ului de inginer.","Špeciálne stropné svetlo, ktoré si vyžaduje napájanie. Môže byť stlmené a farebné, keď je umiestnené vo vnútri vášho pozemku. Odomkne sa na úrovni 4 inžinierskej perky.","Posebna stropna svetilka, ki potrebuje napajanje. Ko je nameščena v vašem zemljišču, jo je mogoče zatemniti in obarvati. Odklene se na 4. stopnji inženirske nadgradnje.","Speciell taklampa som kräver ström. Kan dämpas och färgas när den placeras i ditt landområde. Låses upp vid Engineering Perk nivå 4."
ocbSpecialGroundLampDesc,blocks,block,Special ground light that requires power. Can be dimmed and colored when placed inside your land claim. Unlocked at Engineering Perk level 5.,"Spezielles Bodenlicht, das Strom benötigt. Kann gedimmt und eingefärbt werden, wenn es innerhalb deines Landanspruchs platziert wird. Wird auf Stufe 5 des Ingenieurs-Perks freigeschaltet.","Luz de tierra especial que requiere energía. Puede atenuarse y colorearse cuando se coloca dentro de su reclamo de tierra. Se desbloquea en el nivel 5 de la pericia de ingeniería.","Lampe de sol spéciale qui nécessite de l'énergie. Elle peut être atténuée et colorée lorsqu'elle est placée à l'intérieur de votre concession. Débloqué au niveau 5 de la compétence d'ingénierie.","Speciale luce di terra che richiede alimentazione. Può essere attenuata e colorata quando viene posizionata all'interno della richiesta di terra. Si sblocca al livello 5 dell'abilità di ingegneria.","電源が必要な特殊な地明かり。自分の土地の主張の中に置くと、調光と色付けが可能。Engineering Perkレベル5でアンロックされる。","Specjalne oświetlenie terenu, które wymaga zasilania. Można je przyciemnić i pokolorować, gdy jest umieszczone w twoim terenie. Odblokowane na poziomie 5 Perku Inżynierii.","Luz especial de terra que requer energia. Pode ser escurecida e colorida quando colocada dentro de sua reivindicação de terra. Desbloqueado no nível 5 de Perk de Engenharia.","Специальный наземный светильник, требующий питания. Может быть приглушен и окрашен, когда размещен внутри вашего земельного участка. Разблокируется на 5-м уровне перка ""Инженерное дело"".","Güç gerektiren özel zemin ışığı. Arazi talebinizin içine yerleştirildiğinde karartılabilir ve renklendirilebilir. Mühendislik Avantajı seviye 5'te açılır.","需要电源的特殊地灯。当放置在你的土地要求内时，可以变暗和变色。在工程津贴5级时解锁。","需要電源的特殊地燈。當放置在你的土地要求内時，可以變暗和變色。在工程津貼5級時解鎖。","Luz de tierra especial que requiere energía. Puede atenuarse y colorearse cuando se coloca dentro de su reclamo de tierra. Se desbloquea en el nivel 5 de la pericia de ingeniería.","Специална наземна светлина, която изисква захранване. Може да бъде затъмнена и оцветена, когато е поставена в рамките на претенцията ви за земя. Отключва се при ниво 5 на инженерната придобивка.","Speciální zemní světlo, které vyžaduje napájení. Může být tlumené a barevné, když je umístěno uvnitř vašeho pozemku. Odemkne se na 5. úrovni inženýrského perku.","Særligt jordlys, der kræver strøm. Kan dæmpes og farves, når det er placeret inden for din jordlod. Låses op ved Engineering Perk niveau 5.","Ειδικό φως γείωσης που απαιτεί ρεύμα. Μπορεί να χαμηλώσει και να χρωματιστεί όταν τοποθετείται μέσα στη γη που διεκδικείτε. Ξεκλειδώνεται στο επίπεδο 5 του Engineering Perk.","Spetsiaalne maapealne valgus, mis vajab energiat. Saab timmida ja värvida, kui see paigutatakse teie maa-ala sisemusse. Vabastatakse inseneriperki 5. tasemel.","Erityinen maavalo, joka vaatii virtaa. Voidaan himmentää ja värittää, kun se sijoitetaan maa-alueesi sisälle. Avautuu, kun Engineering Perk -taso on 5.","Speciális földi fény, amely áramot igényel. Halkítható és színezhető, ha a földterületén belül helyezkedik el. Feloldható az 5. szintű mérnöki képességnél.",Lampu tanah khusus yang membutuhkan daya. Dapat diredupkan dan diwarnai ketika ditempatkan di dalam klaim tanah Anda. Terbuka pada Engineering Perk level 5.,"Speciali įžeminimo šviesa, kuriai reikia maitinimo. Gali būti pritemdyta ir spalvota, kai yra jūsų žemės sklypo viduje. Atrakinama pasiekus 5-ąjį inžinerinės savybės lygį.","Īpaša zemes gaisma, kurai nepieciešama strāva. Var tikt aptumšota un iekrāsota, kad ir novietota jūsu zemes pretenzijā. Atbloķē pie 5. inženiertehniskās prasmes līmeņa.",Speciaal grondlicht dat stroom nodig heeft. Kan gedimd en gekleurd worden als het in je landclaim wordt geplaatst. Vrijgespeeld bij Ingenieur Perk niveau 5.,"Lumină specială de sol care necesită alimentare. Poate fi atenuată și colorată atunci când este plasată în interiorul terenului revendicat. Se deblochează la nivelul 5 al Perk-ului de inginer.","Špeciálne pozemné svetlo, ktoré si vyžaduje napájanie. Môže byť stlmené a farebné, keď je umiestnené vo vnútri vášho pozemku. Odomkne sa na úrovni 5 inžinierskej perky.","Posebna zemeljska luč, ki zahteva napajanje. Ko je nameščena v zemljišču, jo je mogoče zatemniti in obarvati. Odklene se na 5. stopnji inženirskega dodatka.","Särskild markbelysning som kräver ström. Kan dämpas och färgas när den placeras i din markanspråk. Låses upp vid Engineering Perk nivå 5."
ocbCeilingLight01,blocks,block,Powered Light Bulb Socket,"Elektrische Glühbirnenfassung","Portalámparas con alimentación","Douille d'ampoule électrique",Zoccolo per lampadina alimentato,"パワードライトバルブソケット","Gniazdo żarówki zasilanej","Tomada de lâmpada elétrica","Розетка для лампочки с питанием",Elektrikli Ampul Soketi,"供电灯泡插座","供電燈泡插座","Portalámparas con alimentación","Захранван цокъл за електрическа крушка","Napájená objímka žárovky","Elektrisk pærefatning","Υποδοχή ηλεκτρικού λαμπτήρα",Elektritoitega lambipesa,Powered hehkulampun pistorasia,"Powered izzó foglalat",Soket Bola Lampu Bertenaga,"Maitinamos lemputės lizdas","Elektriskās spuldzes ligzda",Aangedreven Gloeilamp Socket,Soclu pentru becuri cu alimentare,"Napájaná žiarovková zásuvka","Vtičnica za žarnico z napajanjem","Drivna glödlampsfästen"
ocbCeilingLight02,blocks,block,Powered Round Light (black),Rundes elektrisches Licht (schwarz),"Lámpara redonda motorizada (negra)","Lumière ronde alimentée (noir)",Luce rotonda alimentata (nera),"パワードラウンドライト（ブラック）","Zasilany okrągły reflektor (czarny)",Luz redonda alimentada (preto),"Круглый светильник с питанием (черный)","Elektrikli Yuvarlak Işık (siyah)","供电圆灯（黑色）","供電圓燈（黑色）","Lámpara redonda motorizada (negra)","Захранвана кръгла светлина (черна)","Kulaté světlo s napájením (černé)",Drevet rundt lys (sort),"Powered Round Light (μαύρο)","Elektritoitega ümmargune valgusti (must)",Powered Round Light (musta),Powered Round Light (fekete),Lampu Bulat Bertenaga (hitam),"Maitinama apvali šviesa (juoda)","Apaļā gaisma (melna)",Aangedreven rond licht (zwart),"Lumină rotundă alimentată (negru)","Napájané okrúhle svetlo (čierne)","Okrogla luč s pogonom (črna)",Drivet runt ljus (svart)
ocbCeilingLight03,blocks,block,Powered Round Light (brass),Angetriebene runde Leuchte (Messing),"Luz redonda motorizada (latón)","Lumière ronde alimentée (laiton)",Luce rotonda alimentata (ottone),"パワードラウンドライト（真鍮）","Zasilane światło okrągłe (mosiądz)","Luz Redonda Potente (latão)","Круглый светильник с питанием (латунь)","Elektrikli Yuvarlak Işık (pirinç)","供电圆灯（黄铜）","供電圓燈（黄銅）","Luz redonda motorizada (latón)","Захранвана кръгла светлина (месинг)","Kulaté světlo s napájením (mosaz)",Drevet rundt lys (messing),"Powered Round Light (ορείχαλκος)","Elektritoitega ümmargune valgusti (messingist)",Powered Round Light (messinki),"Kerek lámpa (sárgaréz)",Lampu Bulat Bertenaga (kuningan),"Apvalus šviestuvas (žalvaris)","Apaļā gaisma (misiņš)",Aangedreven rond licht (messing),"Lumină rotundă alimentată (alamă)","Napájané okrúhle svetlo (mosadz)","Okrogla luč s pogonom (medenina)","Drivna runda lampor (mässing)"
ocbCeilingLight04,blocks,block,Powered Ceiling Light (white),"Elektrische Deckenleuchte (weiß)","Lámpara de techo motorizada (blanca)","Plafonnier motorisé (blanc)",Plafoniera alimentata (bianco),"パワードシーリングライト（ホワイト）","Zasilana lampa sufitowa (biała)",Luz de teto com energia (branca),"Потолочный светильник с питанием (белый)","Elektrikli Tavan Işığı (beyaz)","电动吸顶灯（白色）","電動吸頂燈（白色）","Lámpara de techo motorizada (blanca)","Захранвана таванна лампа (бяла)","Napájené stropní světlo (bílé)",Elektrisk loftslampe (hvid),"Φωτιστικό οροφής (λευκό)",Elektriline laevalgusti (valge),Powered kattovalaisin (valkoinen),"Mennyezeti lámpa (fehér)",Lampu Plafon Bertenaga (putih),"Maitinamas lubų šviestuvas (baltas)",Griestu gaisma (balta),Gevoede Plafondlamp (wit),"Plafonieră cu alimentare (alb)","Napájané stropné svetlo (biele)",Stropna svetilka s pogonom (bela),"Taklampa med strömförsörjning (vit)"
ocbCeilingLight05,blocks,block,Powered Ceiling Light (black),Elektrische Deckenleuchte (schwarz),"Lámpara de techo motorizada (negra)","Plafonnier motorisé (noir)",Plafoniera alimentata (nero),"パワードシーリングライト（ブラック）",Zasilana lampa sufitowa (czarna),"Luz de teto com alimentação elétrica (preto)","Потолочный светильник с питанием (черный)","Elektrikli Tavan Işığı (siyah)","电动吸顶灯（黑色）","電動吸頂燈（黑色）","Lámpara de techo motorizada (negra)","Захранвана таванна лампа (черна)","Napájené stropní světlo (černé)",Elektrisk loftslampe (sort),"Powered Ceiling Light (μαύρο)",Elektriline laevalgusti (must),Powered kattovalaisin (musta),"Mennyezeti lámpa (fekete)",Lampu Plafon Bertenaga (hitam),"Maitinamas lubų šviestuvas (juodas)",Griestu gaisma (melna),Gevoede Plafondlamp (zwart),"Plafonieră alimentată (negru)","Napájané stropné svetlo (čierne)","Stropna svetilka s pogonom (črna)","Taklampa med strömförsörjning (svart)"
ocbCeilingLight06,blocks,block,Powered Ceiling Light (brass),Elektrische Deckenleuchte (Messing),"Lámpara de techo motorizada (latón)","Plafonnier motorisé (laiton)",Plafoniera alimentata (ottone),"パワードシーリングライト(真鍮)","Zasilana lampa sufitowa (mosiądz)","Luz de teto com motor (latão)","Потолочный светильник с питанием (латунь)","Elektrikli Tavan Lambası (pirinç)","电动吸顶灯（黄铜）","電動吸頂燈（黄銅）","Lámpara de techo motorizada (latón)","Захранвана таванна лампа (месинг)","Stropní světlo s napájením (mosaz)",Elektrisk loftslampe (messing),"Powered Ceiling Light (ορείχαλκος)",Elektriline laevalgusti (messingist),Powered kattovalaisin (messinki),"Mennyezeti lámpa (sárgaréz)",Lampu Plafon Bertenaga (kuningan),"Maitinamas lubų šviestuvas (žalvaris)","Griestu gaisma (misiņš)",Gevoede Plafondlamp (messing),"Plafonieră electrică (alamă)","Stropné svietidlo s elektrickým napájaním (mosadz)",Stropna svetilka s pogonom (medeninasta),"Taklampa med strömförsörjning (mässing)"
ocbCeilingLight07,blocks,block,Powered Neon Tube Light,"Angetriebene Neonröhrenleuchte","Tubo de luz de neón alimentado","Tube néon alimenté",Tubo luminoso al neon alimentato,"電源付きネオン管ライト",Powered Neon Tube Light,"Tubo de luz de néon","Неоновая лампа с питанием","Enerjili Neon Tüp Işık","供电氖管灯","供電氖管燈","Tubo de luz de neón alimentado","Захранване на неонова светлина Tube","Napájené neonové trubice Light","Neonrør med strømforsyning","Powered φως σωλήνα νέον",Powered Neon Tube Light,Powered Neon Tube Light,"Powered Neon cső fény",Lampu Tabung Neon Bertenaga,Powered Neon Tube Light,"Powered neona cauruļu gaisma",Aangedreven neon buis licht,Powered Neon Tube lumina tubului,"Napájané neónové trubicové svetlo",Powered Neon Tube Light,"Strömförsörjd neonrörslampa"
ocbRecessedLight01,blocks,block,Powered Recessed Light,Elektrisches Einbaulicht,"Lámpara empotrada motorizada","Lumière encastrée alimentée",Luce da incasso alimentata,"電源付き埋め込み型ライト",Powered Recessed Light,Luz de encastrar alimentada,"Встраиваемые светильники с питанием","Enerjili Gömme Işık","电动凹槽灯","電動凹槽燈","Lámpara empotrada motorizada","Захранване на вградената светлина","Napájené zapuštěné světlo",Elektrisk indbygningslampe,"Powered χωνευτό φως","Elektritoitega süvistatav valgusti",Powered upotettu valo,"Elektromos süllyesztett lámpa",Lampu Tersembunyi Bertenaga,"Maitinama įleidžiama šviesa","Padziļinājumā iebūvēta gaisma",Aangedreven inbouwlicht,"Lumină încastrată alimentată","Napájané zapustené svetlo",Powered Recessed Light,"Drivna infällda lampor"
ocbIndustrialLight01,blocks,block,Powered Industrial Box Light,Angetriebene Industrie-Box-Leuchte,Caja de luz industrial motorizada,"Boîte lumineuse industrielle alimentée",Box luminoso industriale alimentato,"パワードインダストリアルボックスライト",Powered Industrial Box Light,Caixa de luz industrial,"Промышленный светильник с питанием","Elektrikli Endüstriyel Kutu Işık","电动工业箱灯","電動工[遽業]箱燈",Caja de luz industrial motorizada,"Захранване на индустриална кутия светлина","Napájené průmyslové krabicové světlo",Driven industriel kasse lys,Powered Industrial Box Light,Powered Industrial Box Light,Powered Industrial Box Light,"Powered ipari dobozos fény",Lampu Kotak Industri Bertenaga,"Maitinama pramoninė dėžutė šviesa",Powered Industrial Box Light,"Aangedreven industriële doos licht",Powered Industrial Box Light,"Napájané priemyselné krabicové svetlo",Powered Industrial Box Light,Powered Industrial Box Light
ocbIndustrialLight02,blocks,block,Powered Industrial Bulb Light,"Industrielle Glühbirnenleuchte","Bombilla industrial con alimentación","Ampoule industrielle alimentée",Luce industriale alimentata a lampadina,"パワードインダストリアルバルブライト",Powered Industrial Bulb Light,"Lâmpada de iluminação industrial","Промышленная лампа с питанием","Elektrikli Endüstriyel Ampul Işık","电动工业灯泡灯","電動工[遽業]燈泡燈","Bombilla industrial con alimentación","Захранване на индустриална крушка Light","Napájené průmyslové žárovkové světlo",Powered Industrial Bulb Light,"Powered βιομηχανική λάμπα φως",Powered Industrial Bulb Light,Powered teollisuuden lamppu valo,"Powered ipari izzó fény",Lampu Bohlam Industri Bertenaga,"Maitinama pramoninė lemputė",Powered Industrial Bulb Light,"aangedreven industriële gloeilamp licht",Alimentat lumina bec industrial lumina bec,"Napájané priemyselné žiarovkové svetlo",Powered Industrial Bulb Light,"Drivna industriella glödlampor"
ocbIndustrialLight03,blocks,block,Powered Industrial Red Bulb Light,"Industrielle rote Glühbirnenleuchte mit Stromanschluss","Lámpara industrial roja con alimentación","Ampoule rouge industrielle alimentée",Luce industriale alimentata a lampadina rossa,"パワードインダストリアルレッドバルブライト",Powered Industrial Red Bulb Light,"Lâmpada Vermelha Industrial Accionada","Промышленный светильник с красной лампочкой","Elektrikli Endüstriyel Kırmızı Ampul Işık","工业用红色灯泡灯","工[遽業]用紅色燈泡燈","Lámpara industrial roja con alimentación","Индустриална червена крушка","Napájení průmyslové červené žárovky","Driven industriel rød pære lys",Powered Industrial Red Bulb Light,Powered Industrial Punane lambivalgusti,Powered Industrial punainen lamppu valo,"Powered ipari piros izzó fény",Lampu Bohlam Merah Industri Bertenaga,"Maitinama pramoninė raudona lemputė","Rūpnieciskā sarkanā spuldzes gaisma",Aangedreven Industrieel Rood Bollicht,"Powered Industrial Red Bulb lumina bec roșu","Napájané priemyselné červené žiarovkové svetlo",Powered Industrial Red Bulb Light,"Industriell röd glödlampa med strömförsörjning"
ocbPorchLight01,blocks,block,Powered Porch Light (rusted),Elektrisches Verandalicht (verrostet),"Lámpara de porche con motor (oxidada)","Lampe de porche motorisée (rouillée)",Luce del portico alimentata (arrugginita),"電源付きポーチライト（錆び）","Zasilana lampa portowa (zardzewiała)","Luz de varanda elétrica (enferrujada)","Светильник для крыльца (ржавый)","Elektrikli Sundurma Işığı (paslanmış)","电动门廊灯（已生锈）","電動門廊燈（已生銹）","Lámpara de porche con motor (oxidada)","Захранване на светлината на верандата (ръждясала)","Poháněné světlo na verandě (zrezivělé)",Elektrisk veranda lys (rusten),"Powered Porch Light (σκουριασμένο)",Elektritoitega verandavalgusti (roostetanud),Powered Porch Light (ruostunut),"Powered Porch Light (rozsdás)",Lampu teras bertenaga (berkarat),"Elektrinis verandos žibintas (surūdijęs)","Elektriskā verandas gaisma (sarūsējusi)",Elektrische portieklamp (verroest),"Lumină de verandă cu motor (ruginită)","Poháňané svetlo na verande (zhrdzavené)","Luč na verandi (zarjavela)",Drivet verandaljus (rostig)
ocbPorchLight02,blocks,block,Powered Porch Light (black),Elektrische Verandaleuchte (schwarz),"Luz de porche eléctrica (negra)","Lampe de porche motorisée (noire)",Luce per portico alimentata (nera),"パワードポーチライト（ブラック）",Powered Porch Light (czarny),Powered Porch Light (preto),"Светильник для крыльца с питанием (черный)","Elektrikli Sundurma Işığı (siyah)","电动门廊灯（黑色）","電動門廊燈（黑色）","Luz de porche eléctrica (negra)","Захранвана светлина за верандата (черна)","Světlo na verandu s napájením (černé)",Elektrisk veranda lys (sort),"Powered Porch Light (μαύρο)",Elektritoitega verandavalgusti (must),"Sähkökäyttöinen kuistin valo (musta)","Elektromos veranda világítás (fekete)",Lampu Serambi Bertenaga (hitam),"Maitinama verandos šviesa (juoda)","Elektriskā verandas gaisma (melna)",Elektrische portieklamp (zwart),"Lumină de verandă alimentată (negru)","Poháňané svetlo na verande (čierne)","Luč na verandi (črna)",Drivet verandaljus (svart)
ocbPorchLight03,blocks,block,Powered Porch Light (brass),Elektrische Verandaleuchte (Messing),"Lámpara de porche motorizada (latón)","Lampe de porche motorisée (laiton)",Luce per portico alimentata (ottone),"パワードポーチライト（真鍮製）","Powered Porch Light (mosiądz)","Powered Porch Light (latão)","Светильник для крыльца (латунь)","Elektrikli Sundurma Işığı (pirinç)","电动门廊灯（黄铜）","電動門廊燈（黄銅）","Luz de porche motorizada (latón)","Захранване на светлината на верандата (месинг)","Světlo na verandě s napájením (mosaz)","Elektrisk lys på veranda (messing)","Φωτισμός βεράντας (ορείχαλκος)",Elektritoitega verandavalgusti (messingist),"Sähkötoiminen kuistin valo (messinki)","Elektromos veranda világítás (sárgaréz)",Lampu Serambi Bertenaga (kuningan),"Elektrinis verandos žibintas (žalvaris)","Elektriskā verandas gaisma (misiņš)",Elektrische portieklamp (messing),"Powered Porch Light (alamă)","Poháňané svetlo na verande (mosadz)","Luč za verando (medeninasta)","Drivna verandaljus (mässing)"
ocbSconceLight01,blocks,block,Powered Sconce Light,Elektrische Wandleuchte,"Lámpara de techo con alimentación","Lampe d'applique alimentée",Lampada a incasso alimentata,"パワード・スコンス・ライト",Powered Sconce Light,Luz Sconce Powered,"Светильник бра с питанием","Elektrikli Aplik Işık","电动窗台灯","電動窗[台臺檯颱]燈","Lámpara de techo con alimentación","Захранване на осветително тяло","Napájené svítidlo Sconce Light",Powered Sconce Light,Powered Sconce Light,Elektritoitega valgusti,Powered Sconce Light,Powered Sconce Light,Lampu Tempat Lilin Bertenaga,"Maitinamas šviestuvas","Strāvas brāzmekļu gaisma",Aangedreven Sconce Light,Powered Sconce Light,"Napájané svietidlo",Powered Sconce Light,Drivna sconce-lampor
